id,bom_number,part_number,revision_number,quantity,uom,valid_from,valid_to,plate_id,plate_txt,serial_number,change_number,change_number_to,item,item_id,sku_code
1,211760,15161069,0,1,EA,2010-12-01,9999-12-31,44,Chain Case,,SCH01011210,,1,1,00DH15ZZ
2,211760,22150451,0,2,EA,2010-12-01,9999-12-31,27,Rider Foot Rest,,SCH01011210,,2,2,00DH15ZZ
3,211760,30101061,0,1,EA,2010-12-01,9999-12-31,8,Transmission,,SCH01011210,,3,3,00DH15ZZ
4,211760,30101142,0,1,EA,2010-12-01,9999-12-31,13,Cover RH,,SCH01011210,,4,4,00DH15ZZ
5,211760,30101236,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,5,5,00DH15ZZ
6,211760,30141015,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,6,6,00DH15ZZ
7,211760,30141031,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,7,7,00DH15ZZ
8,211760,30141032,0,4,EA,2010-12-01,9999-12-31,40,Cap Tank & Gauge Fuel,,SCH01011210,,8,8,00DH15ZZ
9,211760,30141052,0,1,EA,2010-12-01,9999-12-31,40,Cap Tank & Gauge Fuel,,SCH01011210,,9,9,00DH15ZZ
10,211760,30141070,0,2,EA,2010-12-01,9999-12-31,40,Cap Tank & Gauge Fuel,,SCH01011210,,10,10,00DH15ZZ
11,211760,30151005,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,11,11,00DH15ZZ
12,211760,30151012,0,1,EA,2010-12-01,9999-12-31,35,Rear Hub,,SCH01011210,,12,12,00DH15ZZ
13,211760,30151033,0,1,EA,2010-12-01,9999-12-31,32,Front Hub,,SCH01011210,,13,13,00DH15ZZ
14,211760,30151069,0,2,EA,2010-12-01,9999-12-31,35,Rear Hub,,SCH01011210,,14,14,00DH15ZZ
15,211760,30151075,0,1,EA,2010-12-01,9999-12-31,35,Rear Hub,,SCH01011210,,15,15,00DH15ZZ
16,211760,30151082,0,1,EA,2010-12-01,9999-12-31,35,Rear Hub,,SCH01011210,,16,16,00DH15ZZ
17,211760,30151095,0,1,EA,2010-12-01,9999-12-31,36,Rear Brake Pedal,,SCH01011210,,17,17,00DH15ZZ
18,211760,30151096,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,18,18,00DH15ZZ
19,211760,30161157,0,1,EA,2010-12-01,9999-12-31,30,Stand Assembly,,SCH01011210,,19,19,00DH15ZZ
20,211760,30181011,0,1,EA,2010-12-01,9999-12-31,25,Frame & Frame Fittings,,SCH01011210,,20,20,00DH15ZZ
21,211760,30181026,0,2,EA,2010-12-01,9999-12-31,38,Front Fork,,SCH01011210,,21,21,00DH15ZZ
22,211760,30181029,0,2,EA,2010-12-01,9999-12-31,38,Front Fork,,SCH01011210,,22,22,00DH15ZZ
23,211760,30191035,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,23,23,00DH15ZZ
24,211760,30191036,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,24,24,00DH15ZZ
25,211760,30191038,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,25,25,00DH15ZZ
26,211760,30191048,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,26,26,00DH15ZZ
27,211760,30201064,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,27,27,00DH15ZZ
28,211760,30211005,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,28,28,00DH15ZZ
29,211760,31101108,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,29,29,00DH15ZZ
30,211760,31101173,0,1,EA,2010-12-01,9999-12-31,6,Crankshaft,,SCH01011210,,30,30,00DH15ZZ
31,211760,31121006,0,4,EA,2010-12-01,9999-12-31,5,Cylinder & Piston,,SCH01011210,,31,31,00DH15ZZ
32,211760,31161018,0,2,EA,2010-12-01,9999-12-31,41,"Fittings Petrol Tank, Side Cvoer & Cover",,SCH01011210,,32,32,00DH15ZZ
33,211760,31201079,0,1,EA,2010-12-01,9999-12-31,48,Electrical Equipments,,SCH01011210,,33,33,00DH15ZZ
34,211760,31201081,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,34,34,00DH15ZZ
35,211760,35171033,0,2,EA,2010-12-01,9999-12-31,26,Swing arm & Rear Shock Absorber,,SCH01011210,,35,35,00DH15ZZ
36,211760,39008004,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,36,36,00DH15ZZ
37,211760,39019811,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,37,37,00DH15ZZ
38,211760,39021111,0,2,EA,2010-12-01,9999-12-31,29,Mudguard - Front & Rear,,SCH01011210,,38,38,00DH15ZZ
39,211760,39024811,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,39,39,00DH15ZZ
40,211760,39029615,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,40,40,00DH15ZZ
41,211760,39042215,0,1,EA,2010-12-01,9999-12-31,30,Stand Assembly,,SCH01011210,,41,41,00DH15ZZ
42,211760,39045411,0,2,EA,2010-12-01,9999-12-31,26,Swing arm & Rear Shock Absorber,,SCH01011210,,42,42,00DH15ZZ
43,211760,39055302,0,2,EA,2010-12-01,9999-12-31,26,Swing arm & Rear Shock Absorber,,SCH01011210,,43,43,00DH15ZZ
44,211760,39069415,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,44,44,00DH15ZZ
45,211760,39070501,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,45,45,00DH15ZZ
46,211760,39070815,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,46,46,00DH15ZZ
47,211760,39071215,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,47,47,00DH15ZZ
48,211760,39072211,0,1,EA,2010-12-01,9999-12-31,35,Rear Hub,,SCH01011210,,48,48,00DH15ZZ
49,211760,39073817,0,2,EA,2010-12-01,9999-12-31,16,Kick Starter Mechanism,,SCH01011210,,49,49,00DH15ZZ
50,211760,39074011,0,2,EA,2010-12-01,9999-12-31,26,Swing arm & Rear Shock Absorber,,SCH01011210,,50,50,00DH15ZZ
51,211760,39075201,0,3,EA,2010-12-01,9999-12-31,12,Crankcase LH,,SCH01011210,,51,51,00DH15ZZ
52,211760,39078111,0,1,EA,2010-12-01,9999-12-31,32,Front Hub,,SCH01011210,,52,52,00DH15ZZ
53,211760,39079415,0,6,EA,2010-12-01,9999-12-31,35,Rear Hub,,SCH01011210,,53,53,00DH15ZZ
54,211760,39080708,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,54,54,00DH15ZZ
55,211760,39081715,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,55,55,00DH15ZZ
56,211760,39084001,0,1,EA,2010-12-01,9999-12-31,32,Front Hub,,SCH01011210,,56,56,00DH15ZZ
57,211760,39084914,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,57,57,00DH15ZZ
58,211760,39089704,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,58,58,00DH15ZZ
59,211760,39090012,0,1,EA,2010-12-01,9999-12-31,32,Front Hub,,SCH01011210,,59,59,00DH15ZZ
60,211760,39096315,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,60,60,00DH15ZZ
61,211760,39097315,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,61,61,00DH15ZZ
62,211760,39099906,0,2,EA,2010-12-01,9999-12-31,13,Cover RH,,SCH01011210,,62,62,00DH15ZZ
63,211760,39101321,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,63,63,00DH15ZZ
64,211760,39104119,0,1,EA,2010-12-01,9999-12-31,13,Cover RH,,SCH01011210,,64,64,00DH15ZZ
65,211760,39106901,0,2,EA,2010-12-01,9999-12-31,28,Pillion Foot Rest & Holder,,SCH01011210,,65,65,00DH15ZZ
66,211760,39107404,0,2,EA,2010-12-01,9999-12-31,47,Tail Lamp Assembly & Front & Rear Number,,SCH01011210,,66,66,00DH15ZZ
67,211760,39107504,0,4,EA,2010-12-01,9999-12-31,1,Cover Cylinder Head,,SCH01011210,,67,67,00DH15ZZ
68,211760,39118011,0,2,EA,2010-12-01,9999-12-31,37,Handle Bar (Split Type),,SCH01011210,,68,68,00DH15ZZ
69,211760,39118415,0,1,EA,2010-12-01,9999-12-31,37,Handle Bar (Single Tube Type),,SCH01011210,,69,69,00DH15ZZ
70,211760,39130911,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,71,71,00DH15ZZ
71,211760,39155304,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,72,72,00DH15ZZ
72,211760,39155604,0,1,EA,2010-12-01,9999-12-31,41,"Fittings Petrol Tank, Side Cvoer & Cover",,SCH01011210,,73,73,00DH15ZZ
73,211760,39160804,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,74,74,00DH15ZZ
74,211760,39162011,0,2,EA,2010-12-01,9999-12-31,7,Balancer & Balancer Idler Gear,,SCH01011210,,75,75,00DH15ZZ
75,211760,39166005,0,2,EA,2010-12-01,9999-12-31,2,Cylinder Head,,SCH01011210,,76,76,00DH15ZZ
76,211760,39167304,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,77,77,00DH15ZZ
77,211760,39167404,0,2,EA,2010-12-01,9999-12-31,2,Cylinder Head,,SCH01011210,,78,78,00DH15ZZ
78,211760,39167704,0,8,EA,2010-12-01,9999-12-31,12,Crankcase LH,,SCH01011210,,79,79,00DH15ZZ
79,211760,39168004,0,2,EA,2010-12-01,9999-12-31,25,Frame & Frame Fittings,,SCH01011210,,80,80,00DH15ZZ
80,211760,39168104,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,81,81,00DH15ZZ
81,211760,39171519,0,1,EA,2010-12-01,9999-12-31,12,Crankcase LH,,SCH01011210,,82,82,00DH15ZZ
82,211760,39177304,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,83,83,00DH15ZZ
83,211760,39177802,0,4,EA,2010-12-01,9999-12-31,42,Meter Assembly,,SCH01011210,,84,84,00DH15ZZ
84,211760,39178301,0,2,EA,2010-12-01,9999-12-31,47,Tail Lamp Assembly & Front & Rear Number,,SCH01011210,,85,85,00DH15ZZ
85,211760,39178924,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,86,86,00DH15ZZ
86,211760,39184504,0,1,EA,2010-12-01,9999-12-31,12,Crankcase LH,,SCH01011210,,87,87,00DH15ZZ
87,211760,39190701,0,2,EA,2010-12-01,9999-12-31,45,Head Lamp Fairing,,SCH01011210,,88,88,00DH15ZZ
88,211760,39194304,0,2,EA,2010-12-01,9999-12-31,37,Handle Bar (Single Tube Type),,SCH01011210,,89,89,00DH15ZZ
89,211760,39194404,0,4,EA,2010-12-01,9999-12-31,22,"Magneto, CDI & H.T. Coil",,SCH01011210,,90,90,00DH15ZZ
90,211760,39195504,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,91,91,00DH15ZZ
91,211760,39195604,0,1,EA,2010-12-01,9999-12-31,48,Electrical Equipments,,SCH01011210,,92,92,00DH15ZZ
92,211760,39197015,0,2,EA,2010-12-01,9999-12-31,19,Silencer Assembly,,SCH01011210,,93,93,00DH15ZZ
93,211760,39201719,0,2,EA,2010-12-01,9999-12-31,3,Valve,,SCH01011210,,94,94,00DH15ZZ
94,211760,39203804,0,6,EA,2010-12-01,9999-12-31,32,Front Hub,,SCH01011210,,95,95,00DH15ZZ
95,211760,39212415,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,96,96,00DH15ZZ
96,211760,39214124,0,4,EA,2010-12-01,9999-12-31,45,Head Lamp Fairing,,SCH01011210,,97,97,00DH15ZZ
97,211760,39215220,0,2,EA,2010-12-01,9999-12-31,7,Balancer & Balancer Idler Gear,,SCH01011210,,98,98,00DH15ZZ
98,211760,39215704,0,3,EA,2010-12-01,9999-12-31,24,Engine Mountings,,SCH01011210,,99,99,00DH15ZZ
99,211760,39215811,0,1,EA,2010-12-01,9999-12-31,8,Transmission,,SCH01011210,,100,100,00DH15ZZ
100,211760,39215911,0,1,EA,2010-12-01,9999-12-31,8,Transmission,,SCH01011210,,101,101,00DH15ZZ
101,211760,39216011,0,1,EA,2010-12-01,9999-12-31,8,Transmission,,SCH01011210,,102,102,00DH15ZZ
102,211760,39216511,0,1,EA,2010-12-01,9999-12-31,6,Crankshaft,,SCH01011210,,103,103,00DH15ZZ
103,211760,39218006,0,2,EA,2010-12-01,9999-12-31,11,Engine Assembly & Crankcase RH,,SCH01011210,,104,104,00DH15ZZ
104,211760,39218106,0,4,EA,2010-12-01,9999-12-31,5,Cylinder & Piston,,SCH01011210,,105,105,00DH15ZZ
105,211760,39218520,0,1,EA,2010-12-01,9999-12-31,12,Crankcase LH,,SCH01011210,,106,106,00DH15ZZ
106,211760,39218919,0,1,EA,2010-12-01,9999-12-31,12,Crankcase LH,,SCH01011210,,107,107,00DH15ZZ
107,211760,39219019,0,1,EA,2010-12-01,9999-12-31,12,Crankcase LH,,SCH01011210,,108,108,00DH15ZZ
108,211760,39219421,0,1,EA,2010-12-01,9999-12-31,21,Oil Pump,,SCH01011210,,109,109,00DH15ZZ
109,211760,39220011,0,1,EA,2010-12-01,9999-12-31,15,Clutch,,SCH01011210,,110,110,00DH15ZZ
110,211760,39220307,0,1,EA,2010-12-01,9999-12-31,6,Crankshaft,,SCH01011210,,111,111,00DH15ZZ
111,211760,39220804,0,8,EA,2010-12-01,9999-12-31,13,Cover RH,,SCH01011210,,112,112,00DH15ZZ
112,211760,39224020,0,1,EA,2010-12-01,9999-12-31,35,Rear Hub,,SCH01011210,,113,113,00DH15ZZ
113,211760,39224120,0,1,EA,2010-12-01,9999-12-31,35,Rear Hub,,SCH01011210,,114,114,00DH15ZZ
114,211760,39224220,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,115,115,00DH15ZZ
115,211760,39228501,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,116,116,00DH15ZZ
116,211760,39231004,0,2,EA,2010-12-01,9999-12-31,24,Engine Mountings,,SCH01011210,,117,117,00DH15ZZ
117,211760,39231204,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,118,118,00DH15ZZ
118,211760,39234411,0,1,EA,2010-12-01,9999-12-31,16,Kick Starter Mechanism,,SCH01011210,,119,119,00DH15ZZ
119,211760,39236220,0,2,EA,2010-12-01,9999-12-31,32,Front Hub,,SCH01011210,,120,120,00DH15ZZ
120,211760,39238104,0,7,EA,2010-12-01,9999-12-31,40,Cap Tank & Gauge Fuel,,SCH01011210,,121,121,00DH15ZZ
121,211760,39239121,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,122,122,00DH15ZZ
122,211760,39241204,0,1,EA,2010-12-01,9999-12-31,24,Engine Mountings,,SCH01011210,,123,123,00DH15ZZ
123,211760,39241304,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,124,124,00DH15ZZ
124,211760,39241404,0,1,EA,2010-12-01,9999-12-31,24,Engine Mountings,,SCH01011210,,125,125,00DH15ZZ
125,211760,39242704,0,2,EA,2010-12-01,9999-12-31,37,Handle Bar (Single Tube Type),,SCH01011210,,126,126,00DH15ZZ
126,211760,39244311,0,1,EA,2010-12-01,9999-12-31,13,Cover RH,,SCH01011210,,127,127,00DH15ZZ
127,211760,39245304,0,1,EA,2010-12-01,9999-12-31,10,Gear Change Mechanism,,SCH01011210,,128,128,00DH15ZZ
128,211760,39253105,0,2,EA,2010-12-01,9999-12-31,11,Engine Assembly & Crankcase RH,,SCH01011210,,129,129,00DH15ZZ
129,211760,39253204,0,2,EA,2010-12-01,9999-12-31,1,Cover Cylinder Head,,SCH01011210,,130,130,00DH15ZZ
130,211760,39254220,0,1,EA,2010-12-01,9999-12-31,4,Camshaft & Tensioner,,SCH01011210,,131,131,00DH15ZZ
131,211760,39255717,0,2,EA,2010-12-01,9999-12-31,7,Balancer & Balancer Idler Gear,,SCH01011210,,132,132,00DH15ZZ
132,211760,39256120,0,1,EA,2010-12-01,9999-12-31,6,Crankshaft,,SCH01011210,,133,133,00DH15ZZ
133,211760,39256611,0,1,EA,2010-12-01,9999-12-31,35,Rear Hub,,SCH01011210,,134,134,00DH15ZZ
134,211760,39258204,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,135,135,00DH15ZZ
135,211760,39258320,0,1,EA,2010-12-01,9999-12-31,11,Engine Assembly & Crankcase RH,,SCH01011210,,136,136,00DH15ZZ
136,211760,39260120,0,1,EA,2010-12-01,9999-12-31,11,Engine Assembly & Crankcase RH,,SCH01011210,,137,137,00DH15ZZ
137,211760,39260220,0,1,EA,2010-12-01,9999-12-31,11,Engine Assembly & Crankcase RH,,SCH01011210,,138,138,00DH15ZZ
138,211760,39260320,0,1,EA,2010-12-01,9999-12-31,12,Crankcase LH,,SCH01011210,,139,139,00DH15ZZ
139,211760,39260801,0,1,EA,2010-12-01,9999-12-31,2,Cylinder Head,,SCH01011210,,140,140,00DH15ZZ
140,211760,39264715,0,4,EA,2010-12-01,9999-12-31,1,Cover Cylinder Head,,SCH01011210,,141,141,00DH15ZZ
141,211760,39265912,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,142,142,00DH15ZZ
142,211760,39266921,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,143,143,00DH15ZZ
143,211760,39272612,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,144,144,00DH15ZZ
144,211760,59020001,0,6,EA,2010-12-01,9999-12-31,39,Painted Parts & Decals,,SCH01011210,,145,145,00DH15ZZ
145,211760,59110002,0,4,EA,2010-12-01,9999-12-31,3,Valve,,SCH01011210,,146,146,00DH15ZZ
146,211760,59150003,0,1,EA,2010-12-01,9999-12-31,32,Front Hub,,SCH01011210,,147,147,00DH15ZZ
147,211760,59200007,0,1,EA,2010-12-01,9999-12-31,23,Starter Assembly (For Self Start),,SCH01011210,,148,148,00DH15ZZ
148,211760,59210019,0,1,EA,2010-12-01,9999-12-31,43,Control Cables,,SCH01011210,,149,149,00DH15ZZ
149,211760,AB201017,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,150,150,00DH15ZZ
150,211760,AL201012,0,1,EA,2010-12-01,9999-12-31,48,Electrical Equipments,,SCH01011210,,151,151,00DH15ZZ
151,211760,BA122003,0,1,EA,2010-12-01,9999-12-31,40,Cap Tank & Gauge Fuel,,SCH01011210,,152,152,00DH15ZZ
152,211760,CS101128,0,1,EA,2010-12-01,9999-12-31,4,Camshaft & Tensioner,,SCH01011210,,153,153,00DH15ZZ
153,211760,DD101062,0,1,EA,2010-12-01,9999-12-31,4,Camshaft & Tensioner,,SCH01011210,,154,154,00DH15ZZ
154,211760,DD101097,0,1,EA,2010-12-01,9999-12-31,16,Kick Starter Mechanism,,SCH01011210,,155,155,00DH15ZZ
155,211760,DD111012,0,2,EA,2010-12-01,9999-12-31,22,"Magneto, CDI & H.T. Coil",,SCH01011210,,156,156,00DH15ZZ
156,211760,DD121007,0,2,EA,2010-12-01,9999-12-31,5,Cylinder & Piston,,SCH01011210,,157,157,00DH15ZZ
157,211760,DD141022,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,158,158,00DH15ZZ
158,211760,DD141227,0,2,EA,2010-12-01,9999-12-31,40,Cap Tank & Gauge Fuel,,SCH01011210,,159,159,00DH15ZZ
159,211760,DD161071,0,1,EA,2010-12-01,9999-12-31,28,Pillion Foot Rest & Holder,,SCH01011210,,160,160,00DH15ZZ
160,211760,DD191015,0,1,EA,2010-12-01,9999-12-31,25,Frame & Frame Fittings,,SCH01011210,,161,161,00DH15ZZ
161,211760,DE151006,0,1,EA,2010-12-01,9999-12-31,32,Front Hub,,SCH01011210,,162,162,00DH15ZZ
162,211760,DE151008,0,1,EA,2010-12-01,9999-12-31,32,Front Hub,,SCH01011210,,163,163,00DH15ZZ
163,211760,DE151012,0,1,EA,2010-12-01,9999-12-31,32,Front Hub,,SCH01011210,,164,164,00DH15ZZ
164,211760,DE151033,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,165,165,00DH15ZZ
165,211760,DE151043,0,1,EA,2010-12-01,9999-12-31,34,Front Disc Brake,,SCH01011210,,166,166,00DH15ZZ
166,211760,DE151045,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,167,167,00DH15ZZ
